Chapter_Name,Chapter_Code,Concept_Name
NOCB,C151000180,bbb
Solution Collegative Properties,C151000190,bbb
Basic Concepts of Chemistry,C151000210,bbb
Hydrocarbon,C151000292,bbb
Isomerism ( Structural ),C151000468,bbb
Chemical Eqilibirum,C151000499,bbb
Revision,C161000522,bbb
Basic_Principle_and_Techniques_In_Org_Chem_Part_,CHP000017,bbb
Alkynes,CHP000018,bbb
Aromatic_Compond,CHP000019,bbb
s_block_elements,CHP000036,bbb
p_block_elements,CHP000037,bbb
Environmental_Chemistry,CHP000047,bbb
Atomic_Structure_I,CH,bbb
Periodic,CHP000051,bbb
Chemical_Bonding_I,CHP000052,bbb
Mole_and_Equivalent_Concept,CHP000053,bbb
Redox_Reaction,CHP000054,bbb
Gaseous_State,CHP000056,bbb
Alkanes,CHP000080,bbb
Ionic_Equilibrium_I,CHP000162,bbb
Alkenes,CHP000167,bbb
Hydrocarbon_Entrance,CHP000168,bbb
Surface_Chemistry,CHP000169,
Ionic_Equilibrium_II,CHP000170,
Atomic_Structure_II,CHP000171,
General_Organic_Chemistry,CHP000179,
Basic_principles_and_Techniques_in_Organic_Chemistry_I,CHP000188,
Chemical_Bonding_II,CHP000190,
Hydrogen,CHP000296,
Chemical_Equilibrium,CHP000298,
Chemical_Thermodynamics_and_Energetics_I,CHP000375,
Chemical_Thermodynamics_and_Energetics_II,CHP001571,
